id	Proteínas	Carboidratos	Fibra Alimentar	Cálcio	Magnésio	Manganês	Fósforo	Ferro	Sódio	Zinco
87	1.8	22.3	2.6	3	24	0.60	29	0.2	0	0.1
92	1.4	23.8	1.9	3	28	0.14	27	0.3	0	0.2
112	1.5	29.3	2.0	3	28	0.09	22	0.3	0	0.3
78	1.2	20.3	2.0	5	30	0.41	20	0.4	1	0.1
98	1.3	26.0	2.0	8	26	0.42	22	0.4	0	0.1
74	1.0	19.4	2.2	12	25	0.04	9	0.3	1	0.6
46	1.3	11.4	2.6	13	11	0.05	24	0.2	1	0.2
43	1.0	10.3	1.7	1	10	0.12	16	0.2	3	0.1
46	0.9	11.5	2.0	5	7	0.13	11	0.2	4	0.2
76	1.4	18.9	3.9	27	18	0.06	49	0.4	2	0.5
49	1.2	10.4	3.1	13	18	0.07	21	0.5	3	0.3
41	1.0	10.2	1.8	27	11	0.06	15	0.2	0	0.1
67	1.1	17.2	5.5	34	24	0.04	27	0.2	1	0.1
52	0.9	12.4	6.3	5	7	0.07	16	0.2	0	0.2
54	1.1	13.0	6.2	4	7	0.09	15	0.2	0	0.1
62	0.8	15.8	1.9	40	23	0.08	19	0.2	4	0.1
58	0.6	15.3	2.3	8	18	0.30	15	0.1	0	0.3
88	1.4	22.5	2.4	11	40	0.48	14	0.4	2	0.2
27	0.9	6.5	5.1	14	14	0.05	18	0.1	22	0.1
41	0.5	10.6	1.8	3	2	0	4	0.0	1	0.0
51	1.3	11.5	2.7	24	11	0.05	33	0.3	0	0.1
45	1.0	11.5	1.1	35	9	0.04	24	0.1	0	0.1
51	1.1	12.9	4.0	51	14	0.04	20	0.1	1	0.2
46	1.1	11.5	1.8	31	10	0.05	15	0.1	1	0.1
37	1.0	8.9	0.8	22	9	0.05	23	0.1	0	0.1
46	0.8	11.7	1.7	34	14	0.06	20	0.1	1	0.1
63	0.2	16.6	2.0	3	5	0.01	11	0.1	1	0
56	0.3	15.2	1.3	2	2	0.03	9	0.1	0	0
404	2.1	13.9	13.4	67	66	0.08	44	0.8	1	0.7
45	0.8	11.6	1.8	25	17	0.04	11	0.2	3	0.1
40	0.5	10.4	1.0	22	22	0.01	11	0.2	2	0.1
64	0.4	16.7	1.6	12	8	0.17	9	0.1	1	0.1
72	0.4	19.4	1.6	12	9	0.05	14	0.1	2	0.1
51	0.9	12.8	2.1	8	7	0.34	14	0.1	0	0.1
68	2.0	12.3	1.1	5	28	0.12	51	0.6	2	0.4
33	0.9	8.1	0.1	8	10	0.14	12	0.2	0	0.1
29	0.7	7.5	0.3	3	6	0.05	10	0.2	11	0.1
58	0.9	14.9	3.1	33	12	0.05	19	0.1	1	0.1
37	0.7	9.3	2.7	17	8	0.05	14	0.1	2	0.2
30	0.9	6.8	1.7	11	10	0.33	22	0.3	0	0.2
43	0.3	11.5	3.0	20	10	0.07	10	0.1	0	0.1
205	2.3	13.0	19.0	32	30	0.64	34	0.3	0	1.0
61	0.2	16.1	3.0	9	6	0.04	12	0.3	1	0.1
53	0.6	14.0	3.0	8	6	0.04	12	0.1	0	0.1
36	0.8	9.3	1.4	3	4	0.05	15	0.2	0	0.1
88	1.5	22.4	3.4	21	31	0.15	34	0.2	1	0.2
41	0.9	10.2	3.2	18	12	0.36	13	0.4	2	0.4
56	0.4	15.1	0.4	5	13	0.13	40	0.3	1	0.7
276	3.2	72.5	6.4	37	59	0.34	55	0.6	0	0.7
38	0.8	9.6	0.9	13	8	0.04	12	0.1	0	0
262	2.1	26.5	12.7	46	121	0.55	53	0.6	4	0.9
37	0.8	9.4	2.0	12	11	0.03	13	0.1	0	0.4
53	0.7	13.6	0.9	7	5	0.13	12	0.1	0	0
49	0.6	12.7	0.9	8	6	0.07	23	0.2	8	0
55	2.1	7.6	0.3	89	9	0	63	0	46	0.2
51	4.1	1.9	0	143	11	0	119	0	52	0.4
41	3.8	5.8	0	157	12	0	110	0	60	0.5
70	2.7	9.7	0.2	101	8	0	73	0	38	0.3
68	2.5	9.4	0.7	95	8	0	66	0.1	37	0.3
66	3.1	5.2	0	112	10	0	113	0.1	74	0.4
83	2.1	14.2	0.6	70	13	0.05	71	0.5	72	0.3
362	34.7	53.0	0	1363	109	0	1673	0.9	432	3.8
497	25.4	39.2	0	890	77	0	1242	0.5	323	2.7
70	1.9	15.7	0	72	6	0.02	63	0	33	0.3
264	17.4	3.2	0	579	7	0.02	123	0.9	31	0.3
321	21.2	3.6	0	696	27	0.02	403	0.2	501	2.7
330	22.6	3.0	0	875	24	0.03	470	0.3	581	3.5
453	35.6	1.7	0	992	33	0.05	745	0.5	1844	4.4
303	9.4	5.7	0	323	16	0.01	578	0.3	780	1.3
121	5.8	18.5	0	731	27	0.02	448	0.1	412	2.7
360	22.7	1.9	0	940	28	0.03	461	0.3	580	3.5
257	9.6	2.4	0	259	12	0.02	448	0.1	558	1.3
140	12.6	3.8	0	253	12	0	162	0.1	283	0.5
443	8.1	75.2	2.1	54	37	0.78	166	1.8	352	1.0
472	6.4	70.5	3.0	27	48	0.59	139	2.3	239	1.0
471	5.7	71.0	1.5	36	27	0.66	138	1.5	230	0.7
502	5.6	67.5	1.8	23	48	0.44	124	2.4	137	0.9
513	4.5	67.4	0.8	14	19	0.28	73	1.1	120	0.5
432	10.1	68.7	2.5	20	40	0.69	148	2.2	854	1.1
324	4.4	47.9	0.7	85	10	0.11	122	0.5	111	0.4
410	6.2	54.7	1.4	75	28	0.38	197	2.1	283	0.7
333	5.7	52.3	1.1	57	16	0.40	303	0.8	190	0.7
311	4.8	45.1	0.7	83	10	0.11	128	0.7	134	0.4
365	7.2	83.8	4.1	143	11	0.06	101	3.1	655	7.6
377	4.7	88.8	2.1	56	8	0.13	43	3.9	405	8.5
78	2.4	13.9	0.5	53	16	0.06	75	0.4	21	0.4
343	12.4	59.6	6.0	109	57	1.08	182	4.7	606	1.7
309	11.3	56.5	5.7	90	48	0.57	153	3.3	663	1.5
253	12.0	44.1	2.5	156	24	0.51	105	5.7	22	1.3
292	8.3	56.4	4.3	78	29	0.37	110	3.0	507	0.8
253	9.4	49.9	6.9	132	60	1.62	193	3.0	506	1.6
300	8.0	58.6	2.3	16	25	0.46	95	1.0	648	0.8
311	8.4	61.5	2.4	52	22	0.31	101	2.3	431	2.7
363	5.1	34.2	0.6	102	8	0.03	94	0.3	773	0.6
124	2.6	25.8	2.7	5	59	0.63	106	0.3	1	0.7
128	2.5	28.1	1.6	4	2	0.30	18	0.1	1	0.5
130	2.6	28.2	1.1	3	6	0.37	22	0.1	2	0.5
164	5.8	32.5	1.6	10	4	0.20	42	1.2	207	0.4
436	8.8	62.4	5.6	18	19	0.25	112	0.8	1516	0.5
80	0.9	18.9	1.8	12	8	0.22	29	0.4	2	0.4
77	0.6	18.4	2.2	17	11	0.14	15	0.2	3	0.1
52	1.2	11.9	1.3	4	5	0.07	24	0.2	2	0.2
267	5.0	35.6	8.1	6	14	0.15	70	0.4	2	0.4
68	1.3	14.1	1.4	4	6	0.08	32	0.3	8	0.2
125	0.6	30.1	1.6	19	27	0.06	22	0.1	1	0.2
300	1.4	50.3	1.9	23	95	0.18	57	0.3	9	0.4
88	7.5	14.2	9.7	24	42	0.40	152	1.4	0	1.2
74	4.6	13.4	5.1	22	23	0.46	79	1.4	372	0.9
76	4.8	13.6	8.5	27	42	0.28	87	1.3	2	0.7
78	5.1	13.5	7.5	17	38	0.53	85	1.1	1	1.1
93	6.1	16.5	13.9	29	44	0.32	121	1.9	1	1.0
77	4.5	14.0	8.4	29	40	0.37	88	1.5	2	0.7
85	5.5	15.3	9.3	29	42	0.29	113	1.4	1	0.9
68	4.5	11.8	4.8	19	43	0.46	90	1.2	2	1.3
77	5.7	12.9	11.5	23	34	0.32	106	1.4	1	1.0
93	6.3	16.3	7.9	16	22	0.29	104	1.5	1	1.1
39	2.4	4.3	0.4	17	15	0.15	53	0.4	57	0.3
459	35.7	28.5	7.3	359	216	2.68	647	7.0	83	5.8
48	1.4	10.8	2.5	8	9	0.26	33	0.3	1	0.3
29	0.4	6.0	1.5	19	7	0.02	12	0.1	3	0.1
15	1.1	3.0	1.6	17	17	0.11	22	0.2	1	0.3
24	1.1	4.2	1.4	21	13	0.14	32	0.4	2	0.3
21	1.4	4.6	1.1	43	10	0.11	40	0.3	1	0.3
17	2.7	2.3	2.1	133	18	0.28	51	3.1	7	0.7
19	0.8	4.3	1.0	65	9	0.18	28	0.7	10	0.1
9	0.6	1.7	1.0	14	6	0.12	19	0.3	7	0.2
11	1.3	1.7	1.8	38	11	0.20	26	0.4	3	0.3
14	1.7	2.4	2.3	28	9	0.33	26	0.6	4	0.3
13	0.9	2.5	2.0	34	9	0.12	51	2.5	7	0.2
29	2.7	5.2	4.1	258	84	0.15	50	1.3	5	0.7
18	1.8	3.3	2.6	19	21	0.17	40	0.7	2	0.3
65	1.7	5.7	3.4	63	17	0.28	31	1.6	15	0.2
19	0.7	4.5	2.5	11	9	0.11	15	0.2	1	0.1
32	1.3	7.2	1.9	15	17	0.19	30	0.2	23	0.4
49	1.9	11.1	3.4	18	24	1.23	19	0.3	10	0.5
25	2.1	4.4	3.4	51	15	0.12	33	0.5	2	0.2
25	3.6	4.0	2.9	86	30	0.26	78	0.6	3	0.5
78	1.5	18.9	2.6	5	15	0.02	28	0.3	1	0.2
24	1.9	4.8	2.0	57	17	0.34	32	3.1	9	0.5
63	2.0	4.8	3.7	63	16	0.64	35	1.2	25	0.4
30	0.8	6.7	2.6	26	14	0.05	27	0.1	8	0.2
34	1.3	7.7	3.2	23	11	0.05	28	0.2	3	0.2
14	1.1	2.9	2.2	45	14	0.13	13	0.5	14	0.1
19	0.4	4.8	1.0	8	7	0.07	13	0.1	2	0.1
27	2.9	4.3	3.1	131	35	1.02	49	0.5	6	0.4
90	1.7	8.7	5.7	177	26	0.12	33	0.5	11	0.2
19	1.2	3.9	2.1	16	5	0.10	25	0.1	2	0.3
16	2.0	2.6	2.1	98	82	0.71	25	0.4	17	0.3
67	2.7	4.2	2.5	112	123	0.61	34	0.6	47	0.6
18	2.1	3.2	1.9	68	16	0.14	58	1.1	3	0.3
23	1.8	4.3	3.2	58	34	10.82	40	0.3	514	0.7
29	2.5	5.5	2.6	32	25	0.14	55	0.2	563	0.4
10	0.9	2.0	1.1	10	9	0.08	12	0.1	0	0.1
17	0.9	3.9	1.9	35	9	0.13	14	0.2	4	0.2
31	1.9	7.2	2.0	44	18	0.25	58	0.5	2	0.3
42	1.8	7.6	1.8	43	17	0.26	59	0.5	3	0.3
13	1.8	2.2	1.7	117	18	0.24	25	0.9	9	0.2
15	1.1	3.1	1.2	7	11	0.07	20	0.2	1	0.1
21	0.8	5.1	2.3	7	10	0.04	23	0.3	5	0.2
112	23.5	0.0	0	23	20	0	338	0.5	334	0.5
91	19.3	0.0	0	17	16	0	351	0.3	189	0.4
130	27.6	0.0	0	20	22	0	581	0.3	305	0.4
166	26.2	0.0	0	7	29	0	211	1.2	362	0.6
140	24.0	1.2	0	59	15	0	51	0.2	1256	0.6
208	25.0	3.1	0.5	30	26	0.06	462	1.0	160	0.6
116	25.6	0.0	0	10	21	0	204	0.3	115	0.6
90	19.0	0.0	0	90	19	0.06	266	1.3	367	1.2
231	18.4	2.9	0	960	74	0.38	337	2.4	99	1.1
83	18.5	0.0	0	357	52	0.07	154	2.9	360	5.7
261	19.9	0.0	0	22	24	0.01	221	1.0	40	0.7
239	20.1	0.0	0	65	23	0.02	185	0.6	37	1.0
147	26.8	0.0	0	60	24	0.03	176	0.5	85	0.7
100	23.4	0.0	0	69	22	0.02	164	0.6	68	0.7
131	18.8	0.0	0	12	26	0.01	189	0.2	40	0.5
327	28.4	0.0	0	1881	66	0.34	1067	0.8	65	5.6
344	23.5	10.2	0.4	763	47	0.36	578	3.0	37	3.8
349	30.1	0.0	0	575	32	0.21	735	0.9	41	3.2
122	26.6	0.0	0	36	20	0.03	273	0.4	120	0.9
192	26.9	0.0	0	36	38	0.02	279	0.4	90	0.6
223	27.4	0.0	0	378	30	0.06	504	0.5	107	1.1
283	21.4	5.0	0	26	28	0.07	216	0.9	91	0.4
154	28.6	0.0	0	10	21	0	204	0.3	115	0.6
142	11.8	5.0	0.8	20	18	0.08	105	1.5	51	0.3
192	36.5	0.0	0	114	42	0.08	332	0.8	81	2.1
152	30.8	0.0	0	69	27	0.03	237	0.5	53	0.8
229	23.9	0.0	0	29	28	0.02	300	0.5	85	0.6
243	26.1	0.0	0	15	38	0.01	352	0.4	96	0.5
164	32.2	0.0	0	438	51	0.24	578	1.3	74	1.8
285	15.9	0.0	0	550	35	0.11	496	3.5	666	1.6
257	33.4	0.0	0	482	39	0.25	629	1.1	60	1.6
212	26.7	0.0	0	4	17	0.01	164	2.7	52	8.1
215	27.3	0.0	0	7	14	0	164	2.4	56	8.0
272	18.2	14.3	0	27	48	0.41	244	1.9	1030	2.6
133	21.6	0.0	0	13	7	0.01	63	0.6	38	2.5
312	30.7	0.0	0	7	18	0	214	2.6	81	6.2
239	35.1	0.0	0	9	26	0.01	287	2.8	83	7.6
263	36.4	0.0	0	15	13	0.02	101	3.5	1443	6.1
352	20.6	12.2	0.4	15	27	0.27	203	2.9	77	2.9
275	29.9	0.0	0	4	24	0.01	252	2.8	51	6.7
278	32.4	0.0	0	4	19	0	219	2.4	57	4.8
194	35.9	0.0	0	5	21	0	241	2.4	58	5.1
373	28.8	0.0	0	28	20	0	179	2.2	92	5.5
217	31.9	0.0	0	4	14	0	189	1.7	41	5.0
219	32.4	0.0	0	4	13	0	183	2.6	44	4.7
330	28.6	0.0	0	8	18	0	212	2.7	72	5.3
225	29.9	4.2	0	6	10	0.22	420	5.8	82	4.0
220	32.8	0.0	0	4	28	0.02	308	2.9	58	4.1
196	29.4	0.0	0	4	14	0	181	2.8	42	5.6
338	24.2	0.0	0	3	14	0	161	2.0	39	6.5
222	32.9	0.0	0	4	13	0	167	1.9	48	7.0
315	21.4	0.0	0	6	12	0.01	136	2.1	59	4.1
153	30.7	0.0	0	4	21	0	237	2.4	58	5.6
241	31.9	0.0	0	5	26	0.02	279	3.2	52	4.8
194	31.2	0.0	0	5	13	0	176	2.4	62	6.4
194	29.7	0.0	0	6	18	0	197	2.2	58	6.8
219	35.9	0.0	0	5	27	0.02	289	3.0	60	8.1
338	22.2	0.0	0	4	14	0	136	1.6	56	3.9
289	26.4	0.0	0	4	24	0	246	3.2	60	5.5
238	31.9	0.0	0	4	25	0.02	282	3.6	61	6.7
313	26.9	0.0	0	13	12	0.02	82	1.9	1943	7.7
243	23.9	0.0	0	17	18	0.01	162	1.7	56	1.7
196	29.6	0.0	0	66	23	0.02	210	2.1	53	2.7
207	22.4	0.6	0	8	20	0.06	276	6.5	128	3.4
215	28.5	0.1	0	8	14	0	251	1.2	95	2.6
167	26.9	0.0	0	12	11	0	187	0.8	64	2.8
221	28.5	7.5	1.1	9	35	0.06	249	1.1	122	0.8
187	28.0	0.0	0	9	14	0	233	0.6	70	1.6
170	25.0	0.0	0	8	12	0	194	0.5	51	1.2
212	33.4	0.0	0	8	18	0.01	297	0.5	56	1.0
163	31.5	0.0	0	6	14	0	224	0.3	36	0.9
159	32.0	0.0	0	5	18	0	295	0.3	50	0.8
260	28.7	0.0	0	11	15	0	252	1.2	96	2.2
233	29.2	0.0	0	12	17	0	281	1.2	106	2.2
258	20.0	6.3	0	62	60	0.52	324	3.0	1252	3.2
210	13.2	11.3	0	56	48	0.40	263	2.6	1090	3.0
245	18.3	0.0	0	15	29	0.10	262	0.8	1374	1.2
244	18.2	0.0	0	14	21	0.10	228	0.7	1351	1.0
280	20.5	0.0	0	8	18	0.01	211	0.9	1432	3.1
296	23.2	0.0	0	8	19	0.01	210	1.0	1456	3.5
163	26.2	0.0	0	14	12	0.02	197	0.6	628	1.2
311	33.7	0.0	0	69	29	0.01	290	0.8	63	2.2
280	28.9	0.0	0	34	25	0	229	0.9	51	2.3
402	30.2	0.0	0	17	14	0	201	1.0	63	3.1
210	35.7	0.0	0	20	18	0	238	0.5	39	1.8
262	32.1	0.0	0	18	27	0.01	247	1.3	62	3.3
136	14.6	12.9	1.9	16	36	0.76	174	2.2	40	4.1
109	12.4	10.8	1.6	12	26	0.39	126	1.7	39	2.8
254	14.9	12.3	0	22	39	0.72	166	2.0	836	2.8
697	27.3	0.0	0	9	9	0.01	95	0.9	125	0.8
268	15.6	0.4	0	166	14	0.03	314	1.4	216	1.4
59	13.4	0.0	0	6	11	0	15	0.1	181	0
353	15.9	1.6	0	114	9	0.06	386	2.9	45	2.9
146	13.3	0.6	0	49	11	0.02	184	1.5	146	1.2
240	15.6	1.2	0	73	16	0.03	422	2.1	166	1.5
